,sex,Geopolitical entity (reporting),TIME_PERIOD,OBS_VALUE,real_gdp_current,MED_E_current,MEI_E_current,real_gdp_minus_5,MED_E_minus_5,MEI_E_minus_5,real_gdp_minus_10,MED_E_minus_10,MEI_E_minus_10,people_in_low_work_intensity_household_perc,material_deprivation_rate_perc,mean-median,qoutient
55,T,Denmark,2017,81.1,50150,21253.107019112,23502.0077556802,46430.0,19614.023199532963,21324.081541417196,48820.0,17219.594586065065,18406.519374201853,11.4,6.6,2248.9007365681973,0.10581515138214181
56,T,Denmark,2018,81.0,50830,21985.058247071953,24558.048392737863,46890.0,20085.29826107149,22023.458376936636,48330.0,17771.90972002345,19275.428673536244,10.8,6.9,2572.99014566591,0.11703358329781045
57,T,Denmark,2019,81.5,51500,22691.878319172232,25307.006065860925,47240.0,20423.58966012066,22653.09494232666,45680.0,18057.816192114118,18788.624538983626,10.8,6.4,2615.127746688693,0.11524509826404222
58,T,Denmark,2020,81.6,50470,22330.736223687763,24790.034661048187,47900.0,20735.411392170605,23045.753506229845,46190.0,18332.685184033246,19251.846547639532,10.0,5.9,2459.298437360423,0.11013064740568985
59,T,Denmark,2021,81.5,53970,23526.823671850674,25861.58663829225,48970.0,21729.90515943094,24000.108225719232,46610.0,19673.60325665677,21303.85727978349,11.0,5.4,2334.7629664415763,0.0992383416905984
60,T,Denmark,2022,81.3,54310,23859.43288005554,26565.246823953865,50150.0,21253.107019112,23502.0077556802,46430.0,19614.023199532963,21324.081541417196,10.3,6.4,2705.8139438983235,0.11340646517043387
61,T,Denmark,2023,81.8,55280,23537.369268329672,26552.87789306579,50830.0,21985.058247071953,24558.048392737863,46890.0,20085.29826107149,22023.458376936636,10.6,8.6,3015.508624736118,0.12811578857258218
62,T,Estonia,2015,78.0,16000,11221.070051718585,12947.286335110368,13190.0,7913.181768375661,9080.722089673576,13210.0,5164.597356291852,6021.348604226455,6.5,7.8,1726.2162833917828,0.15383704721880787
63,T,Estonia,2016,78.0,16460,12447.145050380308,14184.451233545708,14240.0,8024.9544230923,9034.867240598098,14590.0,6034.033704242656,6995.935859118357,5.8,6.0,1737.3061831653995,0.13957467163221643
64,T,Estonia,2017,78.4,17390,13087.475887138778,14475.520573924754,14810.0,8432.950188860576,9589.476882554534,15790.0,6869.907940896008,8140.352401865152,6.0,8.6,1388.0446867859755,0.10605900624046413
65,T,Estonia,2018,78.5,17990,13666.743275475199,15152.207257495424,15130.0,9310.716739045498,10885.479852338203,15030.0,7785.43043104507,8902.36251995579,5.8,7.7,1485.4639820202246,0.10869187721451323
66,T,Estonia,2019,79.0,18580,14499.021877429685,16046.450891595336,15680.0,10289.68966528885,11980.736273358423,12850.0,8509.992104290266,9743.350360016197,5.8,7.0,1547.429014165651,0.10672644177291025
67,T,Estonia,2020,78.9,17990,14399.385816474132,16290.136425783185,16000.0,11221.070051718585,12947.286335110368,13190.0,7913.181768375661,9080.722089673576,5.3,6.0,1890.7506093090524,0.13130772613550445
68,T,Estonia,2021,77.2,19260,15157.723799182617,16948.742713411426,16460.0,12447.145050380308,14184.451233545708,14240.0,8024.9544230923,9034.867240598098,5.4,4.8,1791.018914228809,0.11815883030705376
69,T,Estonia,2022,78.1,19240,17019.364103314463,19620.094427543343,17390.0,13087.475887138778,14475.520573924754,14810.0,8432.950188860576,9589.476882554534,6.6,6.9,2600.73032422888,0.1528100761251354
70,T,Estonia,2023,79.1,18200,15956.510911455254,17927.60177325925,17990.0,13666.743275475199,15152.207257495424,15130.0,9310.716739045498,10885.479852338203,6.4,5.5,1971.0908618039975,0.12352893892291592
71,T,Greece,2015,81.1,16210,9228.142015280007,10573.38798094848,19420.0,13388.637362072384,15306.729529020664,19720.0,11015.804698029444,12851.390271158658,16.5,34.3,1345.2459656684732,0.14577646978568468
72,T,Greece,2016,81.5,16270,9468.036137264773,10867.716722417994,17530.0,11928.107928605144,13684.76281871838,20930.0,11435.347013348786,13367.376673083028,17.1,32.7,1399.6805851532208,0.14783219718018265
73,T,Greece,2017,81.4,16540,9458.134215963404,10850.204508502935,16160.0,10266.330332802485,11329.583407379407,21610.0,11804.484312776,13909.189855969275,15.5,32.7,1392.0702925395308,0.14718233646864512
74,T,Greece,2018,81.9,16920,9677.066446912055,11041.726164495332,15900.0,9489.320234550565,10585.699797305006,21560.0,12656.128180894779,14514.337691852379,14.8,31.5,1364.6597175832776,0.14101998008071337
75,T,Greece,2019,81.7,17320,10232.802891181564,11557.484933046162,16140.0,9052.513950749799,10311.510780283235,20620.0,13261.738394619726,15185.918899834012,13.9,28.9,1324.6820418645984,0.12945446677236247
76,T,Greece,2020,81.4,15760,10591.294543624306,12034.92996858029,16210.0,9228.142015280007,10573.38798094848,19420.0,13388.637362072384,15306.729529020664,13.0,27.8,1443.6354249559845,0.13630396350604912
77,T,Greece,2021,80.2,17220,10351.437052078252,11606.653205490114,16270.0,9468.036137264773,10867.716722417994,17530.0,11928.107928605144,13684.76281871838,13.4,27.1,1255.2161534118623,0.1212600866040965
78,T,Greece,2022,80.8,18310,11208.255418016308,12662.107625950137,16540.0,9458.134215963404,10850.204508502935,16160.0,10266.330332802485,11329.583407379407,10.8,27.8,1453.852207933829,0.12971262285804858
79,T,Greece,2023,81.8,18800,11711.096970643746,13410.351922728565,16920.0,9677.066446912055,11041.726164495332,15900.0,9489.320234550565,10585.699797305006,9.5,26.4,1699.2549520848188,0.14509784662737812
80,T,Spain,2015,83.0,23440,15303.21866949446,17569.21818014895,23230.0,16197.10893906797,18579.863229444087,23690.0,12047.918808893352,13710.01323539438,17.0,13.6,2265.99951065449,0.14807339289815868
81,T,Spain,2016,83.5,24100,16212.073540696329,18667.139743672025,23000.0,15602.617320171814,17915.059525804485,24260.0,12924.281489355482,14507.041150261628,16.1,15.1,2455.066202975697,0.15143443538008086
82,T,Spain,2017,83.4,24750,16535.318622518214,18802.765899722544,22330.0,15475.22270335084,17702.542222131302,24640.0,13449.494899588792,15132.656537635869,14.0,12.9,2267.44727720433,0.13712752254537527
83,T,Spain,2018,83.5,25230,16789.56610682627,19191.093260703303,22090.0,15318.960930194535,17496.912883684807,24420.0,16331.97813944536,18686.532577784226,12.2,13.5,2401.527153877032,0.1430368800835552
84,T,Spain,2019,84.0,25520,17277.23416620029,19644.645575059247,22500.0,15060.347689254162,17276.164500112158,23310.0,16870.513011778945,19204.0817534262,12.0,11.8,2367.411408858956,0.13702490723256838
85,T,Spain,2020,82.3,22610,17805.62340650471,19963.203348017865,23440.0,15303.21866949446,17569.21818014895,23230.0,16197.10893906797,18579.863229444087,10.6,12.9,2157.579941513155,0.12117407474342926
86,T,Spain,2021,83.3,24120,17459.130744261005,19764.331436536235,24100.0,16212.073540696329,18667.139743672025,23000.0,15602.617320171814,17915.059525804485,11.7,12.9,2305.20069227523,0.132034104448927
87,T,Spain,2022,83.2,25380,18430.367752168797,20847.987345486737,24750.0,16535.318622518214,18802.765899722544,22330.0,15475.22270335084,17702.542222131302,9.2,12.9,2417.6195933179406,0.13117587374421472
88,T,Spain,2023,84.0,25730,20170.17029939194,22784.812296028806,25230.0,16789.56610682627,19191.093260703303,22090.0,15318.960930194535,17496.912883684807,8.5,14.6,2614.6419966368667,0.12962914828317978
89,T,Finland,2015,81.6,38350,19835.10634570052,21802.6250660908,39260.0,17645.404893769,19285.813623881495,38330.0,14389.681256884753,16041.787999725131,12.4,3.3,1967.5187203902824,0.09919375707389459
90,T,Finland,2016,81.5,39230,20501.157781536105,22687.072215730455,40010.0,18374.41763067511,20179.777930024495,39720.0,14976.947572318562,16572.564377755436,12.5,4.1,2185.91443419435,0.10662395058307603
91,T,Finland,2017,81.7,40430,20296.804669829526,22488.63465577695,39210.0,18994.329849510836,20914.96785996452,41650.0,15651.341295505663,17228.900189086547,12.0,5.3,2191.8299859474246,0.10798891853186632
92,T,Finland,2018,81.8,40860,20543.2712476199,22829.579293167248,38650.0,19681.98395777815,21644.73315992258,41780.0,16934.316806986277,18820.27152400852,11.5,5.1,2286.3080455473464,0.1112923067601628
93,T,Finland,2019,82.1,41370,20968.444061880822,23332.746744008706,38300.0,19679.755651414136,21585.109083809948,38230.0,17647.64263953073,19512.797876600394,7.7,4.5,2364.3026821278836,0.11275527526746831
94,T,Finland,2020,82.0,40270,20785.032726175785,23270.259259482074,38350.0,19835.10634570052,21802.6250660908,39260.0,17645.404893769,19285.813623881495,7.7,4.5,2485.2265333062896,0.11956808372865832
95,T,Finland,2021,81.9,41270,20582.289977684246,22934.30347627571,39230.0,20501.157781536105,22687.072215730455,40010.0,18374.41763067511,20179.777930024495,8.4,3.5,2352.013498591463,0.11427365473625946
96,T,Finland,2022,81.2,41470,21390.00432113894,23711.864538660822,40430.0,20296.804669829526,22488.63465577695,39210.0,18994.329849510836,20914.96785996452,10.0,4.4,2321.860217521884,0.10854884284559385
97,T,Finland,2023,81.6,40920,22345.761021897935,24830.18729107752,40860.0,20543.2712476199,22829.579293167248,38650.0,19681.98395777815,21644.73315992258,9.1,6.3,2484.426269179585,0.11118109903461995
98,T,France,2015,82.4,33200,20511.59236564265,24137.14792571763,32200.0,18482.035011333035,21752.69989732463,31610.0,15129.54375193014,17173.773642949363,8.0,10.9,3625.5555600749794,0.17675641634473302
99,T,France,2016,82.7,33360,21294.19775699938,25104.510144705113,32830.0,18930.204645416237,22558.22055430268,32240.0,15476.9556595934,17517.340015517144,7.1,11.0,3810.3123877057333,0.17893664890255317
100,T,France,2017,82.7,33920,21109.15333452273,24518.557185518788,32740.0,19461.903450452144,23213.45539520484,32860.0,15650.346386984342,17563.01783471169,6.9,10.4,3409.403850996059,0.1615130553540576
101,T,France,2018,82.8,34320,20981.18708638386,24247.07579794471,32830.0,19883.220786695838,23636.978191173093,32810.0,18210.506925127847,21605.982541708516,6.4,10.7,3265.8887115608522,0.1556579567264005
102,T,France,2019,83.0,34880,21175.86413641437,24997.299900643302,32990.0,20284.446656554475,23802.663593997655,31720.0,18446.816539441377,21905.301452153355,6.0,11.1,3821.4357642289324,0.1804618569335042
103,T,France,2020,82.3,32170,20515.77617894278,23379.43343541016,33200.0,20511.59236564265,24137.14792571763,32200.0,18482.035011333035,21752.69989732463,8.2,10.3,2863.6572564673806,0.1395831788907219
104,T,France,2021,82.4,34230,20993.673869414568,23913.83919155518,33360.0,21294.19775699938,25104.510144705113,32830.0,18930.204645416237,22558.22055430268,9.3,9.2,2920.1653221406123,0.13909739382943193
105,T,France,2022,82.3,35030,21660.34663849846,24614.378890362044,33920.0,21109.15333452273,24518.557185518788,32740.0,19461.903450452144,23213.45539520484,8.1,11.1,2954.032251863584,0.13637973118182578
106,T,France,2023,83.0,35440,23091.35706845357,26080.035246142495,34320.0,20981.18708638386,24247.07579794471,32830.0,19883.220786695838,23636.978191173093,7.9,11.4,2988.6781776889256,0.12942843371349233
107,T,Croatia,2020,77.6,11970,11243.084890065995,12144.785940374233,10810.0,8420.325565641057,9337.546906737221,10670.0,7860.619130001211,8758.655551964874,7.2,9.9,901.7010503082383,0.08020050183068088
108,T,Croatia,2021,76.6,13580,11571.32992974747,12483.822249501525,11280.0,9174.54981457028,10058.808762454351,10690.0,7429.479483315286,8380.277188314318,7.7,8.7,912.4923197540556,0.0788580331987794
109,T,Croatia,2022,77.7,14580,12368.418841881832,13528.68978282792,11770.0,9605.944638991998,10513.00351333558,10490.0,7520.304682940507,8408.215089606554,6.1,8.8,1160.2709409460876,0.09380915667386588
110,T,Croatia,2023,78.6,14980,13459.38516808718,14754.60624736531,12230.0,10087.022503634249,10986.946060071294,10510.0,7609.403784628275,8587.856301616932,5.5,6.6,1295.2210792781298,0.09623181617160036
111,T,Hungary,2015,75.7,11520,8099.724294169111,9177.460685199816,10170.0,6888.3835591536035,7519.3949139253,10160.0,5712.144420095583,6474.093910647895,8.2,35.7,1077.736391030705,0.1330584044455135
112,T,Hungary,2016,76.2,11850,8503.266701139702,9549.017417092848,10400.0,7320.70916978249,8219.249502257839,10570.0,6296.420235364018,7442.425659891932,7.2,30.1,1045.7507159531451,0.12298223173606702
113,T,Hungary,2017,76.0,12380,8601.721169451774,9512.190550810843,10320.0,7748.793018305662,8617.505661983823,10630.0,6687.959112770286,7408.028444899692,5.9,24.1,910.4693813590693,0.10584734885298515
114,T,Hungary,2018,76.2,13100,8783.3611270425,9955.00759906217,10570.0,7408.033100546338,8371.358387884604,10750.0,6774.4763399335025,7433.1708715613795,5.5,18.7,1171.646472019669,0.1333938631320037
115,T,Hungary,2019,76.5,13780,9598.521425708053,10627.553077888046,11070.0,7740.6637708556045,8808.219356620342,10040.0,7015.6024417783865,7694.057467311958,4.9,18.9,1029.0316521799923,0.10720730897405731
116,T,Hungary,2020,75.5,13210,10042.176227953314,11094.555523617828,11520.0,8099.724294169111,9177.460685199816,10170.0,6888.3835591536035,7519.3949139253,4.6,17.3,1052.3792956645138,0.10479593982180078
117,T,Hungary,2021,74.1,14230,10252.062916130972,11243.628250556498,11850.0,8503.266701139702,9549.017417092848,10400.0,7320.70916978249,8219.249502257839,5.2,16.7,991.5653344255261,0.09671861580807906
118,T,Hungary,2022,76.0,14870,10389.36093579679,11628.574424873977,12380.0,8601.721169451774,9512.190550810843,10320.0,7748.793018305662,8617.505661983823,6.3,15.7,1239.2134890771868,0.11927716215994066
119,T,Hungary,2023,76.7,14770,11227.780221475434,12573.495056654396,13100.0,8783.3611270425,9955.00759906217,10570.0,7408.033100546338,8371.358387884604,4.9,16.4,1345.714835178962,0.1198558226678686
120,T,Ireland,2015,81.5,58040,18571.62844698401,20978.077803265907,42400.0,17647.40192728174,20689.35286985843,45600.0,15719.132559245048,18213.73076326209,18.3,17.4,2406.449356281897,0.12957664768878677
121,T,Ireland,2016,81.7,58050,19132.91143113702,21786.447050364583,42920.0,17744.95683012841,20126.41751253132,46650.0,17029.388828484945,19812.595012779468,16.7,14.2,2653.5356192275613,0.13868958881548893
122,T,Ireland,2017,82.2,62970,19225.578248483736,22403.147123690498,42580.0,17283.575008353102,20083.533046645272,47670.0,18609.265637149758,21724.0268773783,15.4,12.7,3177.5688752067617,0.16527819523230033
123,T,Ireland,2018,82.2,66760,20361.10500130352,23441.69138724236,43300.0,17492.326415527325,20602.945630590155,44560.0,19047.55262421128,21966.55487468602,11.5,10.6,3080.586385938841,0.15129760323624977
124,T,Ireland,2019,82.8,69040,20468.407649784498,23505.07256950151,47010.0,17499.298749710575,20178.229956463307,41890.0,18143.73293099793,20739.867846721743,12.2,11.1,3036.664919717012,0.14835863012279724
125,T,Ireland,2020,82.5,73000,20821.54086846872,23858.438582708684,58040.0,18571.62844698401,20978.077803265907,42400.0,17647.40192728174,20689.35286985843,12.0,10.6,3036.8977142399635,0.1458536490370372
126,T,Ireland,2021,82.3,83910,21510.621885853412,24134.73238579326,58050.0,19132.91143113702,21786.447050364583,42920.0,17744.95683012841,20126.41751253132,11.6,8.3,2624.1104999398485,0.1219913823907439
127,T,Ireland,2022,82.6,89250,22197.032231077515,24512.47923778647,62970.0,19225.578248483736,22403.147123690498,42580.0,17283.575008353102,20083.533046645272,9.4,9.5,2315.4470067089533,0.10431335966918827
128,T,Ireland,2023,82.9,82780,22986.620122183824,26179.76390478354,66760.0,20361.10500130352,23441.69138724236,43300.0,17492.326415527325,20602.945630590155,9.3,9.6,3193.1437825997164,0.138913148850365
129,T,Italy,2015,82.7,27620,16311.194996282878,18313.196824749448,28780.0,16226.569912213183,18275.197317968396,30110.0,14192.721142133794,16277.776442973818,12.7,19.2,2002.0018284665693,0.12273790049857175
130,T,Italy,2016,83.4,28010,17401.54541404123,19299.88962222291,28880.0,16623.71347581927,18810.78372426081,30530.0,14489.170107627013,16492.272324700894,13.3,15.5,1898.3442081816793,0.10909055276492362
131,T,Italy,2017,83.1,28510,17608.73465167315,19696.806056828395,27900.0,16466.751476240832,18701.864204248348,30790.0,15086.406025346992,17194.365422812294,12.3,11.0,2088.071405155246,0.11858157025251337
